Subject,Session,Folder,File
MRI_ROOT,derivatives,mriqc,dataset_description
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-PA_run-2_bold
sub-MT05499,ses-202212101,anat,sub-MT05499_ses-202212101_rec-norm_run-1_T1w
sub-MT05499,ses-202212101,anat,sub-MT05499_ses-202212101_rec-norm_run-1_T2w
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-PA_run-2_bold
sub-MT05499,ses-202303062,anat,sub-MT05499_ses-202303062_rec-norm_run-1_T1w
sub-MT05499,ses-202303062,anat,sub-MT05499_ses-202303062_rec-norm_run-1_T2w
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-PA_run-2_bold
sub-MT05499,ses-202303061,anat,sub-MT05499_ses-202303061_rec-norm_run-1_T1w
sub-MT05499,ses-202303061,anat,sub-MT05499_ses-202303061_rec-norm_run-1_T2w
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-AP_run-1_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-AP_run-2_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-PA_run-1_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-PA_run-2_bold
sub-MT07364,ses-202212211,anat,sub-MT07364_ses-202212211_rec-norm_run-1_T1w
sub-MT07364,ses-202212211,anat,sub-MT07364_ses-202212211_rec-norm_run-1_T2w
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-AP_run-1_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-AP_run-2_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-PA_run-1_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-PA_run-2_bold
sub-MT07364,ses-202303271,anat,sub-MT07364_ses-202303271_rec-norm_run-1_T1w
sub-MT07364,ses-202303271,anat,sub-MT07364_ses-202303271_rec-norm_run-1_T2w
sub-WU09592,ses-202303301,func,sub-WU09592_ses-202303301_task-rest_dir-AP_run-1_bold
sub-WU09592,ses-202303301,func,sub-WU09592_ses-202303301_task-rest_dir-AP_run-2_bold
sub-WU09592,ses-202303301,func,sub-WU09592_ses-202303301_task-rest_dir-PA_run-1_bold
sub-WU09592,ses-202303301,func,sub-WU09592_ses-202303301_task-rest_dir-PA_run-2_bold
sub-WU09592,ses-202303301,anat,sub-WU09592_ses-202303301_rec-norm_run-1_T2w
sub-WU09592,ses-202303301,anat,sub-WU09592_ses-202303301_rec-norm_run-1_T1w
sub-WU09592,ses-202303301,anat,sub-WU09592_ses-202303301_rec-norm_run-2_T2w
sub-WU01590,ses-202212011,func,sub-WU01590_ses-202212011_task-rest_dir-AP_run-2_bold
sub-WU01590,ses-202212011,func,sub-WU01590_ses-202212011_task-rest_dir-AP_run-3_bold
sub-WU01590,ses-202212011,func,sub-WU01590_ses-202212011_task-rest_dir-PA_run-2_bold
sub-WU01590,ses-202212011,func,sub-WU01590_ses-202212011_task-rest_dir-PA_run-3_bold
sub-WU01590,ses-202212011,anat,sub-WU01590_ses-202212011_rec-norm_run-1_T1w
sub-WU01590,ses-202212011,anat,sub-WU01590_ses-202212011_rec-norm_run-1_T2w
sub-TE04070,ses-202212011,func,sub-TE04070_ses-202212011_task-rest_dir-AP_run-1_bold
sub-TE04070,ses-202212011,func,sub-TE04070_ses-202212011_task-rest_dir-PA_run-1_bold
sub-TE04070,ses-202212011,anat,sub-TE04070_ses-202212011_rec-norm_run-1_T1w
sub-TE04070,ses-202212011,anat,sub-TE04070_ses-202212011_rec-norm_run-1_T2w
sub-TE04070,ses-202303231,func,sub-TE04070_ses-202303231_task-rest_dir-AP_run-1_bold
sub-TE04070,ses-202303231,func,sub-TE04070_ses-202303231_task-rest_dir-AP_run-2_bold
sub-TE04070,ses-202303231,func,sub-TE04070_ses-202303231_task-rest_dir-PA_run-1_bold
sub-TE04070,ses-202303231,func,sub-TE04070_ses-202303231_task-rest_dir-PA_run-2_bold
sub-TE04070,ses-202303231,anat,sub-TE04070_ses-202303231_rec-norm_run-1_T2w
sub-TE04070,ses-202303231,anat,sub-TE04070_ses-202303231_rec-norm_run-1_T1w
sub-MT03607,ses-202212291,func,sub-MT03607_ses-202212291_task-rest_dir-AP_run-1_bold
sub-MT03607,ses-202212291,func,sub-MT03607_ses-202212291_task-rest_dir-AP_run-2_bold
sub-MT03607,ses-202212291,func,sub-MT03607_ses-202212291_task-rest_dir-PA_run-1_bold
sub-MT03607,ses-202212291,func,sub-MT03607_ses-202212291_task-rest_dir-PA_run-2_bold
sub-MT03607,ses-202212291,anat,sub-MT03607_ses-202212291_rec-norm_run-1_T1w
sub-MT03607,ses-202212291,anat,sub-MT03607_ses-202212291_rec-norm_run-1_T2w
sub-MT03607,ses-202303022,func,sub-MT03607_ses-202303022_task-rest_dir-AP_run-1_bold
sub-MT03607,ses-202303022,func,sub-MT03607_ses-202303022_task-rest_dir-AP_run-2_bold
sub-MT03607,ses-202303022,func,sub-MT03607_ses-202303022_task-rest_dir-PA_run-2_bold
sub-MT03607,ses-202303022,func,sub-MT03607_ses-202303022_task-rest_dir-PA_run-1_bold
sub-MT03607,ses-202303022,anat,sub-MT03607_ses-202303022_rec-norm_run-1_T1w
sub-MT03607,ses-202303022,anat,sub-MT03607_ses-202303022_rec-norm_run-1_T2w
sub-MT03607,ses-202303021,func,sub-MT03607_ses-202303021_task-rest_dir-AP_run-1_bold
sub-MT03607,ses-202303021,func,sub-MT03607_ses-202303021_task-rest_dir-AP_run-2_bold
sub-MT03607,ses-202303021,func,sub-MT03607_ses-202303021_task-rest_dir-PA_run-1_bold
sub-MT03607,ses-202303021,func,sub-MT03607_ses-202303021_task-rest_dir-PA_run-2_bold
sub-MT03607,ses-202303021,anat,sub-MT03607_ses-202303021_rec-norm_run-1_T1w
sub-MT03607,ses-202303021,anat,sub-MT03607_ses-202303021_rec-norm_run-1_T2w
sub-TE06290,ses-202212051,func,sub-TE06290_ses-202212051_task-rest_dir-AP_run-1_bold
sub-TE06290,ses-202212051,func,sub-TE06290_ses-202212051_task-rest_dir-AP_run-2_bold
sub-TE06290,ses-202212051,func,sub-TE06290_ses-202212051_task-rest_dir-PA_run-1_bold
sub-TE06290,ses-202212051,func,sub-TE06290_ses-202212051_task-rest_dir-PA_run-2_bold
sub-TE06290,ses-202212051,anat,sub-TE06290_ses-202212051_rec-norm_run-1_T1w
sub-TE06290,ses-202212051,anat,sub-TE06290_ses-202212051_rec-norm_run-1_T2w
sub-TE06290,ses-202303161,func,sub-TE06290_ses-202303161_task-rest_dir-AP_run-1_bold
sub-TE06290,ses-202303161,func,sub-TE06290_ses-202303161_task-rest_dir-AP_run-2_bold
sub-TE06290,ses-202303161,func,sub-TE06290_ses-202303161_task-rest_dir-PA_run-1_bold
sub-TE06290,ses-202303161,func,sub-TE06290_ses-202303161_task-rest_dir-PA_run-2_bold
sub-TE06290,ses-202303161,anat,sub-TE06290_ses-202303161_rec-norm_run-1_T1w
sub-TE06290,ses-202303161,anat,sub-TE06290_ses-202303161_rec-norm_run-1_T2w
sub-NC04870,ses-202212081,func,sub-NC04870_ses-202212081_task-rest_dir-AP_run-1_bold
sub-NC04870,ses-202212081,func,sub-NC04870_ses-202212081_task-rest_dir-AP_run-2_bold
sub-NC04870,ses-202212081,func,sub-NC04870_ses-202212081_task-rest_dir-PA_run-1_bold
sub-NC04870,ses-202212081,func,sub-NC04870_ses-202212081_task-rest_dir-PA_run-2_bold
sub-NC04870,ses-202212081,anat,sub-NC04870_ses-202212081_rec-norm_run-1_T1w
sub-NC04870,ses-202212081,anat,sub-NC04870_ses-202212081_rec-norm_run-1_T2w
sub-NC04870,ses-202210201,func,sub-NC04870_ses-202210201_task-rest_dir-AP_run-1_bold
sub-NC04870,ses-202210201,func,sub-NC04870_ses-202210201_task-rest_dir-AP_run-2_bold
sub-NC04870,ses-202210201,func,sub-NC04870_ses-202210201_task-rest_dir-PA_run-1_bold
sub-NC04870,ses-202210201,func,sub-NC04870_ses-202210201_task-rest_dir-PA_run-2_bold
sub-NC04870,ses-202210201,anat,sub-NC04870_ses-202210201_rec-norm_run-1_T1w
sub-NC04870,ses-202210201,anat,sub-NC04870_ses-202210201_rec-norm_run-1_T2w
sub-NC03204,ses-202210141,func,sub-NC03204_ses-202210141_task-rest_dir-AP_run-1_bold
sub-NC03204,ses-202210141,func,sub-NC03204_ses-202210141_task-rest_dir-AP_run-2_bold
sub-NC03204,ses-202210141,func,sub-NC03204_ses-202210141_task-rest_dir-PA_run-1_bold
sub-NC03204,ses-202210141,func,sub-NC03204_ses-202210141_task-rest_dir-PA_run-2_bold
sub-NC03204,ses-202210141,anat,sub-NC03204_ses-202210141_rec-norm_run-1_T1w
sub-NC03204,ses-202210141,anat,sub-NC03204_ses-202210141_rec-norm_run-1_T2w
sub-IR01451,ses-202301041,func,sub-IR01451_ses-202301041_task-rest_dir-AP_run-1_bold
sub-IR01451,ses-202301041,func,sub-IR01451_ses-202301041_task-rest_dir-AP_run-2_bold
sub-IR01451,ses-202301041,func,sub-IR01451_ses-202301041_task-rest_dir-PA_run-1_bold
sub-IR01451,ses-202301041,func,sub-IR01451_ses-202301041_task-rest_dir-PA_run-2_bold
sub-IR01451,ses-202301041,anat,sub-IR01451_ses-202301041_rec-norm_run-1_T1w
sub-IR01451,ses-202301041,anat,sub-IR01451_ses-202301041_rec-norm_run-1_T2w
sub-IR01451,ses-202210281,func,sub-IR01451_ses-202210281_task-rest_dir-AP_run-1_bold
