Subject,Session,Folder,File
sub-BI28850,ses-202405231,anat,sub-BI28850_ses-202405231_run-1_T1w
sub-BI28850,ses-202405231,anat,sub-BI28850_ses-202405231_run-1_T2w
sub-BI28850,ses-202405231,func,sub-BI28850_ses-202405231_task-rest_dir-AP_run-1_bold
sub-BI28850,ses-202405231,func,sub-BI28850_ses-202405231_task-rest_dir-AP_run-3_bold
sub-BI28850,ses-202405231,func,sub-BI28850_ses-202405231_task-rest_dir-PA_run-1_bold
sub-BI28850,ses-202405231,func,sub-BI28850_ses-202405231_task-rest_dir-PA_run-2_bold
sub-BI33025,ses-202406131,anat,sub-BI33025_ses-202406131_run-1_T1w
sub-BI33025,ses-202406131,anat,sub-BI33025_ses-202406131_run-1_T2w
sub-BI33025,ses-202406131,func,sub-BI33025_ses-202406131_task-rest_dir-AP_run-1_bold
sub-BI33025,ses-202406131,func,sub-BI33025_ses-202406131_task-rest_dir-AP_run-2_bold
sub-BI33025,ses-202406131,func,sub-BI33025_ses-202406131_task-rest_dir-PA_run-1_bold
sub-BI33025,ses-202406131,func,sub-BI33025_ses-202406131_task-rest_dir-PA_run-2_bold
sub-BI33542,ses-202404231,anat,sub-BI33542_ses-202404231_run-1_T1w
sub-BI33542,ses-202404231,anat,sub-BI33542_ses-202404231_run-1_T2w
sub-BI44749,ses-202406281,anat,sub-BI44749_ses-202406281_run-1_T1w
sub-BI44749,ses-202406281,anat,sub-BI44749_ses-202406281_run-1_T2w
sub-BI44749,ses-202406281,func,sub-BI44749_ses-202406281_task-rest_dir-AP_run-1_bold
sub-BI44749,ses-202406281,func,sub-BI44749_ses-202406281_task-rest_dir-AP_run-2_bold
sub-BI44749,ses-202406281,func,sub-BI44749_ses-202406281_task-rest_dir-PA_run-1_bold
sub-BI44749,ses-202406281,func,sub-BI44749_ses-202406281_task-rest_dir-PA_run-2_bold
sub-BM13227,ses-202404261,anat,sub-BM13227_ses-202404261_rec-norm_run-1_T1w
sub-BM13227,ses-202404261,anat,sub-BM13227_ses-202404261_rec-norm_run-1_T2w
sub-BM13227,ses-202404261,func,sub-BM13227_ses-202404261_task-rest_dir-AP_run-1_bold
sub-BM13227,ses-202404261,func,sub-BM13227_ses-202404261_task-rest_dir-AP_run-2_bold
sub-BM13227,ses-202404261,func,sub-BM13227_ses-202404261_task-rest_dir-PA_run-1_bold
sub-BM13227,ses-202404261,func,sub-BM13227_ses-202404261_task-rest_dir-PA_run-2_bold
