Subject,Session,Folder,File
sub-MT05499,ses-202303062,anat,sub-MT05499_ses-202303062_rec-norm_run-1_T1w
sub-MT05499,ses-202303062,anat,sub-MT05499_ses-202303062_rec-norm_run-1_T2w
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202303062,func,sub-MT05499_ses-202303062_task-rest_dir-PA_run-2_bold
sub-MT05499,ses-202303061,anat,sub-MT05499_ses-202303061_rec-norm_run-1_T1w
sub-MT05499,ses-202303061,anat,sub-MT05499_ses-202303061_rec-norm_run-1_T2w
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202303061,func,sub-MT05499_ses-202303061_task-rest_dir-PA_run-2_bold
sub-MT05499,ses-202212101,anat,sub-MT05499_ses-202212101_rec-norm_run-1_T1w
sub-MT05499,ses-202212101,anat,sub-MT05499_ses-202212101_rec-norm_run-1_T2w
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-AP_run-1_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-AP_run-2_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-PA_run-1_bold
sub-MT05499,ses-202212101,func,sub-MT05499_ses-202212101_task-rest_dir-PA_run-2_bold
sub-MT07364,ses-202303271,anat,sub-MT07364_ses-202303271_rec-norm_run-1_T1w
sub-MT07364,ses-202303271,anat,sub-MT07364_ses-202303271_rec-norm_run-1_T2w
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-AP_run-1_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-AP_run-2_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-PA_run-1_bold
sub-MT07364,ses-202303271,func,sub-MT07364_ses-202303271_task-rest_dir-PA_run-2_bold
sub-MT07364,ses-202212211,anat,sub-MT07364_ses-202212211_rec-norm_run-1_T1w
sub-MT07364,ses-202212211,anat,sub-MT07364_ses-202212211_rec-norm_run-1_T2w
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-AP_run-1_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-AP_run-2_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-PA_run-1_bold
sub-MT07364,ses-202212211,func,sub-MT07364_ses-202212211_task-rest_dir-PA_run-2_bold
